nacao;campeonato;rodada;ano;dia;home;away;HGHT;AGHT;HGFT;AGFT;odd_home;odd_draw;odd_away;over25;endereco
BRAZIL;SERIE B;ROUND 1;2019;26.04.2019;Operario;America MG;0;0;1;0;3.3;2.95;2.31;2.64;https://www.flashscore.com/match/GpdH8Ph6/#/match-summary
BRAZIL;SERIE B;ROUND 1;2019;26.04.2019;Brasil de Pelotas;Bragantino;0;1;0;1;3.61;2.96;2.15;2.55;https://www.flashscore.com/match/x0pQ63NI/#/match-summary
BRAZIL;SERIE B;ROUND 1;2019;26.04.2019;Sport Recife;Oeste;0;0;1;1;1.63;3.57;5.38;2.16;https://www.flashscore.com/match/j3lU5NxP/#/match-summary
BRAZIL;SERIE B;ROUND 1;2019;26.04.2019;Sao Bento;Atletico GO;0;1;1;3;2.98;2.92;2.51;2.58;https://www.flashscore.com/match/n584BR8m/#/match-summary
BRAZIL;SERIE B;ROUND 1;2019;27.04.2019;Botafogo SP;Vitoria;0;0;3;1;2.1;3.0;3.76;2.6;https://www.flashscore.com/match/Y140C7gs/#/match-summary
BRAZIL;SERIE B;ROUND 1;2019;27.04.2019;Guarani;Figueirense;0;0;0;0;2.42;3.06;3.0;2.38;https://www.flashscore.com/match/GMHYGmoQ/#/match-summary
BRAZIL;SERIE B;ROUND 1;2019;27.04.2019;Criciuma;Cuiaba;0;0;0;1;1.72;3.39;5.05;2.5;https://www.flashscore.com/match/fyeL7q8C/#/match-summary
BRAZIL;SERIE B;ROUND 1;2019;27.04.2019;Vila Nova FC;Parana;1;0;1;1;2.03;3.03;4.03;2.68;https://www.flashscore.com/match/UTc9AoOg/#/match-summary
BRAZIL;SERIE B;ROUND 1;2019;28.04.2019;CRB;Londrina;1;2;1;2;2.04;2.96;4.05;2.61;https://www.flashscore.com/match/46xCU6FP/#/match-summary
BRAZIL;SERIE B;ROUND 1;2019;29.04.2019;Coritiba;Ponte Preta;2;0;2;0;2.36;2.92;3.23;2.7;https://www.flashscore.com/match/8KdD95w0/#/match-summary
BRAZIL;SERIE B;ROUND 2;2019;30.04.2019;America MG;Botafogo SP;0;0;0;1;2.0;3.18;3.87;2.36;https://www.flashscore.com/match/pvT6Jt7O/#/match-summary
BRAZIL;SERIE B;ROUND 2;2019;01.05.2019;Oeste;Guarani;1;0;2;0;2.38;2.86;3.23;2.72;https://www.flashscore.com/match/2sInO4hg/#/match-summary
