nacao;campeonato;rodada;ano;dia;home;away;HGHT;AGHT;HGFT;AGFT;odd_home;odd_draw;odd_away;over25;endereco
BRAZIL;SERIE B;ROUND 1;2022;08.04.2022;Vasco;Vila Nova FC;1;1;1;1;1.85;3.09;4.5;2.54;https://www.flashscore.com/match/x4dN8E2a/#/match-summary
BRAZIL;SERIE B;ROUND 1;2022;08.04.2022;Brusque;Guarani;0;0;1;0;2.62;2.95;2.79;2.36;https://www.flashscore.com/match/MDgBBGIt/#/match-summary
BRAZIL;SERIE B;ROUND 1;2022;08.04.2022;Bahia;Cruzeiro;0;0;2;0;2.31;2.95;3.23;2.4;https://www.flashscore.com/match/j70R7YH5/#/match-summary
BRAZIL;SERIE B;ROUND 1;2022;09.04.2022;Chapecoense-SC;Ituano;0;0;1;1;2.46;2.94;3.05;2.51;https://www.flashscore.com/match/OKbZ5CnI/#/match-summary
BRAZIL;SERIE B;ROUND 1;2022;09.04.2022;Ponte Preta;Gremio;0;0;0;0;4.43;3.24;1.83;2.41;https://www.flashscore.com/match/4dPdhgII/#/match-summary
BRAZIL;SERIE B;ROUND 1;2022;09.04.2022;Sport Recife;Sampaio Correa;0;0;1;0;1.89;3.13;4.4;2.44;https://www.flashscore.com/match/K47qGdAP/#/match-summary
BRAZIL;SERIE B;ROUND 1;2022;09.04.2022;Tombense;Operario;0;0;1;1;2.44;2.91;3.12;2.62;https://www.flashscore.com/match/pUaV6hXB/#/match-summary
BRAZIL;SERIE B;ROUND 1;2022;10.04.2022;Londrina;Nautico;2;0;2;0;2.45;3.09;2.89;2.32;https://www.flashscore.com/match/fu7I9fmg/#/match-summary
BRAZIL;SERIE B;ROUND 2;2022;12.04.2022;Vila Nova FC;Novorizontino;0;0;0;0;1.98;3.07;3.95;2.43;https://www.flashscore.com/match/YkIHIkWN/#/match-summary
BRAZIL;SERIE B;ROUND 2;2022;12.04.2022;Cruzeiro;Brusque;0;0;1;0;1.56;3.77;5.55;2.1;https://www.flashscore.com/match/KnEDJVGH/#/match-summary
BRAZIL;SERIE B;ROUND 2;2022;14.04.2022;Criciuma;Londrina;1;0;1;0;2.13;2.89;3.83;2.78;https://www.flashscore.com/match/8rXiOg2n/#/match-summary
BRAZIL;SERIE B;ROUND 2;2022;15.04.2022;Gremio;Chapecoense-SC;0;0;0;1;1.33;4.5;8.7;1.94;https://www.flashscore.com/match/bXP4Lin5/#/match-summary
BRAZIL;SERIE B;ROUND 2;2022;15.04.2022;Nautico;Bahia;0;1;0;1;2.98;3.13;2.35;2.19;https://www.flashscore.com/match/d8TmPZnt/#/match-summary
BRAZIL;SERIE B;ROUND 2;2022;16.04.2022;Operario;Ponte Preta;1;0;2;0;2.17;2.93;3.61;2.73;https://www.flashscore.com/match/UcL0MXWb/#/match-summary
BRAZIL;SERIE B;ROUND 2;2022;16.04.2022;Ituano;CSA;0;0;0;0;2.25;2.97;3.37;2.51;https://www.flashscore.com/match/j7MdNDHh/#/match-summary
BRAZIL;SERIE B;ROUND 2;2022;16.04.2022;Sampaio Correa;Tombense;1;1;1;1;2.29;2.79;3.54;2.74;https://www.flashscore.com/match/xOO8KB1B/#/match-summary
BRAZIL;SERIE B;ROUND 2;2022;16.04.2022;Guarani;Sport Recife;0;0;0;0;2.05;2.98;3.91;2.73;https://www.flashscore.com/match/tdgv5W1O/#/match-summary
BRAZIL;SERIE B;ROUND 2;2022;16.04.2022;CRB;Vasco;1;1;1;1;2.39;2.99;3.08;2.42;https://www.flashscore.com/match/Knhr4jHU/#/match-summary
BRAZIL;SERIE B;ROUND 3;2022;21.04.2022;Gremio;Guarani;2;1;3;1;1.45;3.87;7.07;2.17;https://www.flashscore.com/match/0MmwIwcA/#/match-summary
BRAZIL;SERIE B;ROUND 3;2022;21.04.2022;Londrina;Novorizontino;1;1;1;1;2.19;2.92;3.51;2.74;https://www.flashscore.com/match/IcbYIJs4/#/match-summary
BRAZIL;SERIE B;ROUND 3;2022;22.04.2022;CSA;Bahia;1;1;1;1;2.66;2.87;2.82;2.62;https://www.flashscore.com/match/UL3mDTgo/#/match-summary
BRAZIL;SERIE B;ROUND 3;2022;22.04.2022;Chapecoense-SC;Vasco;0;0;0;0;2.41;3.02;2.94;2.36;https://www.flashscore.com/match/nwjkFysT/#/match-summary
BRAZIL;SERIE B;ROUND 3;2022;23.04.2022;Criciuma;Sport Recife;1;0;1;1;2.47;2.84;3.11;2.69;https://www.flashscore.com/match/AXfQKuDi/#/match-summary
BRAZIL;SERIE B;ROUND 3;2022;23.04.2022;Ponte Preta;CRB;1;0;1;0;2.41;2.89;3.16;2.59;https://www.flashscore.com/match/SCHLH9oU/#/match-summary
BRAZIL;SERIE B;ROUND 3;2022;23.04.2022;Sampaio Correa;Brusque;1;0;3;1;2.49;3.06;2.86;2.22;https://www.flashscore.com/match/vDnsHcCG/#/match-summary
BRAZIL;SERIE B;ROUND 3;2022;23.04.2022;Tombense;Cruzeiro;0;0;1;1;3.87;3.01;2.05;2.43;https://www.flashscore.com/match/8nioGHRM/#/match-summary
BRAZIL;SERIE B;ROUND 3;2022;23.04.2022;Ituano;Vila Nova FC;2;0;3;1;2.38;2.9;3.24;2.61;https://www.flashscore.com/match/4ffUJaSc/#/match-summary
BRAZIL;SERIE B;ROUND 3;2022;24.04.2022;Nautico;Operario;1;0;2;0;2.15;3.0;3.55;2.43;https://www.flashscore.com/match/WtdMLLco/#/match-summary
BRAZIL;SERIE B;ROUND 4;2022;26.04.2022;Sport Recife;Ituano;0;0;1;0;2.24;2.86;3.53;2.69;https://www.flashscore.com/match/48Z2Ybsi/#/match-summary
BRAZIL;SERIE B;ROUND 4;2022;26.04.2022;Novorizontino;Chapecoense-SC;0;2;0;3;2.09;2.98;3.75;2.54;https://www.flashscore.com/match/0zTBWxC3/#/match-summary
BRAZIL;SERIE B;ROUND 4;2022;26.04.2022;Vila Nova FC;Tombense;1;0;1;1;1.95;3.0;4.38;2.66;https://www.flashscore.com/match/6urdBSue/#/match-summary
BRAZIL;SERIE B;ROUND 4;2022;26.04.2022;Brusque;CSA;0;0;2;0;2.17;3.16;3.31;2.17;https://www.flashscore.com/match/raY6XIdc/#/match-summary
BRAZIL;SERIE B;ROUND 4;2022;26.04.2022;Cruzeiro;Londrina;0;0;1;0;1.45;3.88;7.33;2.25;https://www.flashscore.com/match/SlqhC8Ql/#/match-summary
BRAZIL;SERIE B;ROUND 4;2022;26.04.2022;Bahia;Sampaio Correa;1;0;1;0;1.33;4.44;9.2;2.0;https://www.flashscore.com/match/pQgmDlBr/#/match-summary
BRAZIL;SERIE B;ROUND 4;2022;27.04.2022;Operario;Gremio;0;0;0;1;3.73;3.13;2.04;2.36;https://www.flashscore.com/match/vRRFVdR9/#/match-summary
BRAZIL;SERIE B;ROUND 4;2022;27.04.2022;CRB;Nautico;0;0;1;2;1.83;3.13;4.64;2.38;https://www.flashscore.com/match/j5oL9F4j/#/match-summary
BRAZIL;SERIE B;ROUND 4;2022;27.04.2022;Guarani;Criciuma;0;0;1;0;2.05;3.03;3.84;2.56;https://www.flashscore.com/match/hKSHAekp/#/match-summary
BRAZIL;SERIE B;ROUND 4;2022;27.04.2022;Vasco;Ponte Preta;1;0;1;0;1.99;2.99;4.01;2.57;https://www.flashscore.com/match/YmRJUGtG/#/match-summary
BRAZIL;SERIE B;ROUND 5;2022;29.04.2022;Londrina;Vila Nova FC;1;0;2;2;2.34;2.78;3.45;3.0;https://www.flashscore.com/match/tIMbVmXQ/#/match-summary
BRAZIL;SERIE B;ROUND 5;2022;29.04.2022;Ituano;Bahia;1;0;1;0;2.64;2.93;2.75;2.46;https://www.flashscore.com/match/2RNfWTHK/#/match-summary
BRAZIL;SERIE B;ROUND 5;2022;30.04.2022;CSA;Sport Recife;0;0;1;0;2.15;2.87;3.75;2.83;https://www.flashscore.com/match/hdt496A7/#/match-summary
BRAZIL;SERIE B;ROUND 5;2022;30.04.2022;Sampaio Correa;Operario;0;1;1;1;2.37;2.87;3.29;2.6;https://www.flashscore.com/match/023VPRfl/#/match-summary
BRAZIL;SERIE B;ROUND 5;2022;30.04.2022;Gremio;CRB;2;0;2;0;1.3;4.73;10.0;1.96;https://www.flashscore.com/match/MB4RQ7ur/#/match-summary
