nacao;campeonato;rodada;ano;dia;home;away;HGHT;AGHT;HGFT;AGFT;odd_home;odd_draw;odd_away;over25;endereco
BRAZIL;SERIE B;ROUND 1;2015;08.05.2015;Atletico GO;Boa;0;0;1;0;1.59;3.78;5.8;2.17;https://www.flashscore.com/match/dho42Kw7/#/match-summary
BRAZIL;SERIE B;ROUND 1;2015;08.05.2015;ABC;Oeste;0;0;0;1;1.58;3.72;6.17;2.38;https://www.flashscore.com/match/ETea30O0/#/match-summary
BRAZIL;SERIE B;ROUND 1;2015;08.05.2015;Parana;Ceara;1;0;1;0;2.62;3.17;2.72;2.37;https://www.flashscore.com/match/Uufm62vr/#/match-summary
BRAZIL;SERIE B;ROUND 1;2015;08.05.2015;Mogi Mirim;Criciuma;0;0;1;2;2.57;3.19;2.75;2.05;https://www.flashscore.com/match/zuxFOAf9/#/match-summary
BRAZIL;SERIE B;ROUND 1;2015;09.05.2015;Vitoria;Sampaio Correa;0;1;0;2;1.7;3.63;4.97;2.0;https://www.flashscore.com/match/SEY6QWPd/#/match-summary
BRAZIL;SERIE B;ROUND 1;2015;09.05.2015;Nautico;Luverdense;1;0;1;0;1.75;3.63;4.65;2.07;https://www.flashscore.com/match/2ghe4t9f/#/match-summary
BRAZIL;SERIE B;ROUND 1;2015;09.05.2015;Macae;Santa Cruz;1;0;2;0;2.16;3.33;3.33;2.06;https://www.flashscore.com/match/tIxBPju3/#/match-summary
BRAZIL;SERIE B;ROUND 1;2015;09.05.2015;America MG;Bahia;0;1;1;1;1.95;3.43;3.93;2.14;https://www.flashscore.com/match/EVzJNU9F/#/match-summary
BRAZIL;SERIE B;ROUND 1;2015;09.05.2015;Paysandu PA;Botafogo RJ;0;0;0;1;3.55;3.33;2.07;1.92;https://www.flashscore.com/match/8Whi5Mgl/#/match-summary
BRAZIL;SERIE B;ROUND 1;2015;09.05.2015;CRB;Bragantino;1;0;2;0;2.33;3.2;2.95;2.02;https://www.flashscore.com/match/zqp81vgD/#/match-summary
BRAZIL;SERIE B;ROUND 2;2015;15.05.2015;Santa Cruz;Parana;1;1;4;1;1.78;3.5;4.61;2.23;https://www.flashscore.com/match/M9mVGJh0/#/match-summary
BRAZIL;SERIE B;ROUND 2;2015;15.05.2015;Sampaio Correa;Macae;1;0;3;1;1.69;3.53;5.0;2.05;https://www.flashscore.com/match/fmHYHawf/#/match-summary
BRAZIL;SERIE B;ROUND 2;2015;15.05.2015;Bahia;Mogi Mirim;2;1;4;1;1.54;3.92;5.95;2.11;https://www.flashscore.com/match/ObwjQNVD/#/match-summary
BRAZIL;SERIE B;ROUND 2;2015;15.05.2015;Criciuma;ABC;0;0;0;2;1.69;3.7;4.97;2.11;https://www.flashscore.com/match/GdIUIuOm/#/match-summary
BRAZIL;SERIE B;ROUND 2;2015;16.05.2015;Oeste;Vitoria;1;2;1;2;3.12;3.13;2.37;2.18;https://www.flashscore.com/match/8QksEHxJ/#/match-summary
BRAZIL;SERIE B;ROUND 2;2015;16.05.2015;Bragantino;Paysandu PA;0;0;1;0;2.19;3.28;3.28;2.13;https://www.flashscore.com/match/pERbO10Q/#/match-summary
BRAZIL;SERIE B;ROUND 2;2015;16.05.2015;Botafogo RJ;CRB;1;0;4;1;1.27;5.0;10.0;1.69;https://www.flashscore.com/match/2kxfPsoK/#/match-summary
BRAZIL;SERIE B;ROUND 2;2015;16.05.2015;Boa;Nautico;0;0;0;1;2.19;3.2;3.4;2.23;https://www.flashscore.com/match/MZIQJL8s/#/match-summary
BRAZIL;SERIE B;ROUND 2;2015;16.05.2015;Luverdense;America MG;1;0;1;0;2.59;3.13;2.8;2.21;https://www.flashscore.com/match/fNowFcNC/#/match-summary
