nacao;campeonato;rodada;ano;dia;home;away;HGHT;AGHT;HGFT;AGFT;odd_home;odd_draw;odd_away;over25;endereco
BRAZIL;SERIE B;ROUND 1;2017;12.05.2017;CRB;Ceara;1;0;1;0;2.12;3.16;3.59;2.25;https://www.flashscore.com/match/M7Ypi8Rb/#/match-summary
BRAZIL;SERIE B;ROUND 1;2017;12.05.2017;Juventude;Luverdense;0;0;2;1;2.34;3.16;3.13;2.3;https://www.flashscore.com/match/dQ4SYQBU/#/match-summary
BRAZIL;SERIE B;ROUND 1;2017;12.05.2017;Guarani;Brasil de Pelotas;1;0;2;0;2.06;3.24;3.73;2.42;https://www.flashscore.com/match/IZ5OZ6dO/#/match-summary
BRAZIL;SERIE B;ROUND 1;2017;12.05.2017;Nautico;America MG;0;0;0;0;2.66;3.14;2.71;2.21;https://www.flashscore.com/match/SpDBx9C5/#/match-summary
BRAZIL;SERIE B;ROUND 1;2017;13.05.2017;Londrina;Internacional;0;2;0;3;3.32;3.25;2.22;2.29;https://www.flashscore.com/match/nktYgAst/#/match-summary
BRAZIL;SERIE B;ROUND 1;2017;13.05.2017;Criciuma;Santa Cruz;1;0;1;2;1.9;3.42;4.1;2.16;https://www.flashscore.com/match/M7CFyTRB/#/match-summary
BRAZIL;SERIE B;ROUND 1;2017;13.05.2017;Boa;Vila Nova FC;0;1;0;1;2.92;3.23;2.44;2.18;https://www.flashscore.com/match/QuuxgUdn/#/match-summary
BRAZIL;SERIE B;ROUND 1;2017;13.05.2017;ABC;Parana;0;0;0;0;2.24;3.16;3.35;2.32;https://www.flashscore.com/match/lfE7wkca/#/match-summary
BRAZIL;SERIE B;ROUND 1;2017;13.05.2017;Goias;Figueirense;0;1;0;1;1.7;3.68;4.99;2.06;https://www.flashscore.com/match/zBGJzmsI/#/match-summary
BRAZIL;SERIE B;ROUND 1;2017;13.05.2017;Paysandu PA;Oeste;0;0;2;0;1.78;3.2;4.53;2.24;https://www.flashscore.com/match/84UthlCh/#/match-summary
BRAZIL;SERIE B;ROUND 2;2017;16.05.2017;Brasil de Pelotas;Londrina;1;0;1;1;2.07;3.13;3.83;2.59;https://www.flashscore.com/match/6DVWs4lo/#/match-summary
BRAZIL;SERIE B;ROUND 4;2017;16.05.2017;Parana;Goias;1;0;2;0;2.36;3.19;3.16;2.34;https://www.flashscore.com/match/6ixX2Qs8/#/match-summary
BRAZIL;SERIE B;ROUND 2;2017;16.05.2017;Ceara;Boa;0;0;0;0;1.37;4.47;9.05;2.02;https://www.flashscore.com/match/GUXljSt5/#/match-summary
BRAZIL;SERIE B;ROUND 2;2017;19.05.2017;Parana;Paysandu PA;0;0;0;0;1.73;3.39;5.11;2.5;https://www.flashscore.com/match/8I9F6mRo/#/match-summary
BRAZIL;SERIE B;ROUND 2;2017;19.05.2017;Vila Nova FC;Juventude;0;0;0;0;1.82;3.5;4.4;2.23;https://www.flashscore.com/match/jmQ1mQQN/#/match-summary
BRAZIL;SERIE B;ROUND 2;2017;19.05.2017;America MG;Goias;0;0;1;1;1.88;3.37;4.27;2.27;https://www.flashscore.com/match/n98J57th/#/match-summary
BRAZIL;SERIE B;ROUND 2;2017;20.05.2017;Santa Cruz;Guarani;1;0;2;1;2.01;3.34;3.8;2.26;https://www.flashscore.com/match/fLWhkndB/#/match-summary
BRAZIL;SERIE B;ROUND 2;2017;20.05.2017;Oeste;Criciuma;0;0;1;0;2.92;3.08;2.53;2.33;https://www.flashscore.com/match/pAP5nptU/#/match-summary
BRAZIL;SERIE B;ROUND 2;2017;20.05.2017;Luverdense;CRB;1;1;1;1;2.32;3.3;3.06;2.03;https://www.flashscore.com/match/GrDN4Reb/#/match-summary
BRAZIL;SERIE B;ROUND 2;2017;20.05.2017;Figueirense;Nautico;2;0;3;0;1.75;3.57;4.66;2.09;https://www.flashscore.com/match/CdRcl6BH/#/match-summary
BRAZIL;SERIE B;ROUND 2;2017;20.05.2017;Internacional;ABC;1;0;1;1;1.35;5.09;7.98;1.58;https://www.flashscore.com/match/fZBR3oB4/#/match-summary
BRAZIL;SERIE B;ROUND 3;2017;23.05.2017;CRB;Santa Cruz;0;0;1;0;1.85;3.6;3.96;1.82;https://www.flashscore.com/match/UBO33xHL/#/match-summary
BRAZIL;SERIE B;ROUND 3;2017;23.05.2017;Guarani;Figueirense;1;0;2;0;2.33;3.13;3.08;2.24;https://www.flashscore.com/match/2aq5ryud/#/match-summary
BRAZIL;SERIE B;ROUND 3;2017;26.05.2017;Criciuma;America MG;0;0;1;3;2.0;3.3;3.77;2.29;https://www.flashscore.com/match/rcT3pcAq/#/match-summary
BRAZIL;SERIE B;ROUND 3;2017;26.05.2017;Boa;Oeste;1;0;1;1;2.31;3.18;3.17;2.34;https://www.flashscore.com/match/8dze5bn9/#/match-summary
BRAZIL;SERIE B;ROUND 3;2017;26.05.2017;Goias;Brasil de Pelotas;1;1;1;1;1.6;3.75;5.84;2.38;https://www.flashscore.com/match/MmS7qHPk/#/match-summary
BRAZIL;SERIE B;ROUND 3;2017;27.05.2017;Paysandu PA;Internacional;0;0;1;0;3.88;3.41;1.92;2.14;https://www.flashscore.com/match/jLPa4I1F/#/match-summary
BRAZIL;SERIE B;ROUND 3;2017;27.05.2017;Nautico;Ceara;0;0;0;2;2.6;3.18;2.74;2.33;https://www.flashscore.com/match/j15z2PuH/#/match-summary
BRAZIL;SERIE B;ROUND 3;2017;27.05.2017;Londrina;Luverdense;1;0;3;1;1.93;3.35;4.08;2.23;https://www.flashscore.com/match/fgWj6vX2/#/match-summary
BRAZIL;SERIE B;ROUND 3;2017;27.05.2017;ABC;Vila Nova FC;1;0;1;0;2.25;3.25;3.26;2.28;https://www.flashscore.com/match/xb1W25QA/#/match-summary
