nacao;campeonato;rodada;ano;dia;home;away;HGHT;AGHT;HGFT;AGFT;odd_home;odd_draw;odd_away;over25;endereco
BRAZIL;SERIE B;ROUND 1;2014;18.04.2014;Vila Nova FC;Luverdense;0;0;0;0;2.05;3.28;3.38;2.22;https://www.flashscore.com/match/2oQ3bxZn/#/match-summary
BRAZIL;SERIE B;ROUND 1;2014;18.04.2014;Sampaio Correa;Parana;0;0;0;2;2.42;3.1;2.82;2.15;https://www.flashscore.com/match/UcekuFYO/#/match-summary
BRAZIL;SERIE B;ROUND 1;2014;18.04.2014;Joinville;Portuguesa;0;0;3;0;1.68;3.62;4.72;1.98;https://www.flashscore.com/match/YBLaaIJt/#/match-summary
BRAZIL;SERIE B;ROUND 1;2014;18.04.2014;Ponte Preta;Icasa;0;1;1;1;1.64;3.55;5.25;1.86;https://www.flashscore.com/match/bavvrHl6/#/match-summary
BRAZIL;SERIE B;ROUND 1;2014;19.04.2014;Vasco;America MG;0;0;1;1;1.64;3.65;5.0;1.82;https://www.flashscore.com/match/xjwrsy4C/#/match-summary
BRAZIL;SERIE B;ROUND 1;2014;19.04.2014;Santa Cruz;ABC;1;0;1;1;1.74;3.45;4.5;2.0;https://www.flashscore.com/match/WCxnteJI/#/match-summary
BRAZIL;SERIE B;ROUND 1;2014;19.04.2014;Bragantino;Nautico;1;0;2;2;1.74;3.5;4.38;2.22;https://www.flashscore.com/match/tOqZrcZa/#/match-summary
BRAZIL;SERIE B;ROUND 1;2014;19.04.2014;Boa;Atletico GO;1;1;1;1;2.28;3.18;3.0;2.35;https://www.flashscore.com/match/O0ECdG3a/#/match-summary
BRAZIL;SERIE B;ROUND 1;2014;19.04.2014;Ceara;Oeste;1;0;1;0;1.57;3.7;5.52;1.86;https://www.flashscore.com/match/W2ZX3bBP/#/match-summary
BRAZIL;SERIE B;ROUND 1;2014;19.04.2014;America RN;Avai;2;1;3;1;2.12;3.22;3.25;1.96;https://www.flashscore.com/match/txP7cdlg/#/match-summary
BRAZIL;SERIE B;ROUND 2;2014;22.04.2014;Avai;Bragantino;1;1;1;2;1.6;3.75;5.1;1.96;https://www.flashscore.com/match/KrCZBe3n/#/match-summary
BRAZIL;SERIE B;ROUND 2;2014;25.04.2014;Icasa;Sampaio Correa;0;2;0;3;1.76;3.5;4.3;2.0;https://www.flashscore.com/match/6u8VCylt/#/match-summary
BRAZIL;SERIE B;ROUND 2;2014;25.04.2014;Parana;Joinville;2;2;2;3;2.2;3.25;3.1;2.03;https://www.flashscore.com/match/AHGOgEmI/#/match-summary
BRAZIL;SERIE B;ROUND 2;2014;26.04.2014;Portuguesa;Santa Cruz;0;0;1;1;1.85;3.38;3.75;1.98;https://www.flashscore.com/match/WQHKffYB/#/match-summary
BRAZIL;SERIE B;ROUND 2;2014;26.04.2014;Oeste;America RN;0;0;2;1;2.24;3.28;2.82;1.88;https://www.flashscore.com/match/x4IGezJ5/#/match-summary
BRAZIL;SERIE B;ROUND 2;2014;26.04.2014;Nautico;Vila Nova FC;1;0;2;0;1.74;3.45;4.1;2.14;https://www.flashscore.com/match/jTXLhY2O/#/match-summary
BRAZIL;SERIE B;ROUND 2;2014;26.04.2014;Luverdense;Vasco;1;0;2;1;3.62;3.22;1.93;1.99;https://www.flashscore.com/match/UJWPihIU/#/match-summary
BRAZIL;SERIE B;ROUND 2;2014;26.04.2014;Atletico GO;Ponte Preta;1;1;2;2;1.93;3.3;3.55;2.22;https://www.flashscore.com/match/271vBFIh/#/match-summary
BRAZIL;SERIE B;ROUND 2;2014;26.04.2014;America MG;Ceara;2;0;3;0;1.78;3.48;4.3;1.92;https://www.flashscore.com/match/AX4n9gm5/#/match-summary
BRAZIL;SERIE B;ROUND 2;2014;26.04.2014;ABC;Boa;1;0;1;0;1.96;3.25;3.78;2.15;https://www.flashscore.com/match/tb0rAZXb/#/match-summary
BRAZIL;SERIE B;ROUND 3;2014;29.04.2014;Bragantino;Portuguesa;0;0;2;2;2.3;3.22;2.92;2.16;https://www.flashscore.com/match/lO3j8D2B/#/match-summary
BRAZIL;SERIE B;ROUND 3;2014;02.05.2014;Joinville;Icasa;2;0;2;1;1.58;3.65;5.42;1.85;https://www.flashscore.com/match/dUCF8sEi/#/match-summary
BRAZIL;SERIE B;ROUND 3;2014;02.05.2014;Santa Cruz;Parana;1;1;1;1;2.22;3.22;3.08;2.03;https://www.flashscore.com/match/xpd35BnU/#/match-summary
BRAZIL;SERIE B;ROUND 3;2014;03.05.2014;Vasco;Atletico GO;1;0;3;0;1.58;3.8;5.25;1.9;https://www.flashscore.com/match/rNda6iXN/#/match-summary
BRAZIL;SERIE B;ROUND 3;2014;03.05.2014;Ponte Preta;Luverdense;1;2;2;2;1.66;3.5;5.0;1.95;https://www.flashscore.com/match/Wnge7XHH/#/match-summary
BRAZIL;SERIE B;ROUND 3;2014;03.05.2014;Ceara;Nautico;0;1;2;2;1.77;3.55;4.16;1.88;https://www.flashscore.com/match/IwEB9Nbo/#/match-summary
BRAZIL;SERIE B;ROUND 3;2014;03.05.2014;Boa;America MG;1;1;1;3;3.0;3.25;2.26;2.08;https://www.flashscore.com/match/nJ5S5ubA/#/match-summary
BRAZIL;SERIE B;ROUND 3;2014;03.05.2014;America RN;ABC;0;0;0;2;2.02;3.38;3.3;1.92;https://www.flashscore.com/match/4fGN6Lr4/#/match-summary
BRAZIL;SERIE B;ROUND 3;2014;03.05.2014;Vila Nova FC;Avai;0;0;0;1;2.55;3.25;2.58;2.05;https://www.flashscore.com/match/jiCJ71Tc/#/match-summary
BRAZIL;SERIE B;ROUND 3;2014;03.05.2014;Sampaio Correa;Oeste;0;0;2;2;1.76;3.5;4.38;2.0;https://www.flashscore.com/match/vgrV0Vfo/#/match-summary
BRAZIL;SERIE B;ROUND 4;2014;06.05.2014;Boa;Portuguesa;1;0;2;1;2.88;3.22;2.33;2.05;https://www.flashscore.com/match/04v9IIsG/#/match-summary
BRAZIL;SERIE B;ROUND 4;2014;09.05.2014;Vila Nova FC;Icasa;0;1;0;1;2.3;3.28;2.9;2.0;https://www.flashscore.com/match/Sjt1KvD3/#/match-summary
BRAZIL;SERIE B;ROUND 4;2014;10.05.2014;Vasco;Oeste;0;0;2;0;1.36;4.4;7.98;1.8;https://www.flashscore.com/match/byIw3wrT/#/match-summary
BRAZIL;SERIE B;ROUND 4;2014;10.05.2014;Santa Cruz;Luverdense;0;0;0;0;1.84;3.45;3.92;2.0;https://www.flashscore.com/match/4If6bcjp/#/match-summary
BRAZIL;SERIE B;ROUND 4;2014;10.05.2014;Ponte Preta;ABC;1;0;2;1;1.82;3.58;3.9;1.96;https://www.flashscore.com/match/KpJZ3JSM/#/match-summary
BRAZIL;SERIE B;ROUND 4;2014;10.05.2014;Joinville;Nautico;0;0;1;0;1.6;3.78;5.0;1.9;https://www.flashscore.com/match/AFodLKcc/#/match-summary
BRAZIL;SERIE B;ROUND 4;2014;10.05.2014;America RN;Atletico GO;1;0;3;3;2.0;3.38;3.45;1.96;https://www.flashscore.com/match/6su5JbS9/#/match-summary
BRAZIL;SERIE B;ROUND 4;2014;10.05.2014;Ceara;Parana;1;0;2;1;1.88;3.35;3.85;1.98;https://www.flashscore.com/match/WOnhM0ri/#/match-summary
BRAZIL;SERIE B;ROUND 4;2014;10.05.2014;Bragantino;America MG;0;1;0;2;2.45;3.32;2.65;1.92;https://www.flashscore.com/match/Q94W4aDG/#/match-summary
BRAZIL;SERIE B;ROUND 5;2014;13.05.2014;Oeste;Ponte Preta;0;0;1;1;2.62;3.2;2.55;2.0;https://www.flashscore.com/match/AD6x1jCr/#/match-summary
BRAZIL;SERIE B;ROUND 5;2014;16.05.2014;Parana;Boa;0;0;0;0;1.69;3.58;4.6;1.93;https://www.flashscore.com/match/WSfoaUte/#/match-summary
BRAZIL;SERIE B;ROUND 5;2014;17.05.2014;Portuguesa;America RN;0;0;1;2;1.69;3.6;4.55;1.71;https://www.flashscore.com/match/hxds0ARl/#/match-summary
BRAZIL;SERIE B;ROUND 5;2014;17.05.2014;Icasa;Santa Cruz;0;0;1;1;2.16;3.28;3.15;2.09;https://www.flashscore.com/match/tbxxMil8/#/match-summary
BRAZIL;SERIE B;ROUND 5;2014;17.05.2014;Avai;Ceara;0;0;1;1;1.96;3.5;3.42;1.92;https://www.flashscore.com/match/f1ttLB3E/#/match-summary
BRAZIL;SERIE B;ROUND 5;2014;17.05.2014;America MG;Vila Nova FC;2;0;2;0;1.32;4.75;8.65;1.75;https://www.flashscore.com/match/AZsDDTel/#/match-summary
BRAZIL;SERIE B;ROUND 5;2014;17.05.2014;ABC;Sampaio Correa;1;0;1;0;1.93;3.38;3.68;2.05;https://www.flashscore.com/match/SEvlJkYQ/#/match-summary
BRAZIL;SERIE B;ROUND 5;2014;17.05.2014;Luverdense;Bragantino;1;0;2;0;1.82;3.45;3.98;2.0;https://www.flashscore.com/match/vgbgc8B7/#/match-summary
BRAZIL;SERIE B;ROUND 5;2014;17.05.2014;Atletico GO;Joinville;0;0;0;0;2.43;3.25;2.7;1.9;https://www.flashscore.com/match/lOupKVIK/#/match-summary
BRAZIL;SERIE B;ROUND 6;2014;20.05.2014;Ponte Preta;Vila Nova FC;1;0;1;0;1.5;3.82;6.4;2.05;https://www.flashscore.com/match/IaoLB7Q0/#/match-summary
BRAZIL;SERIE B;ROUND 6;2014;20.05.2014;Oeste;Santa Cruz;1;1;1;1;2.38;3.1;2.92;2.3;https://www.flashscore.com/match/4dsHCmBf/#/match-summary
BRAZIL;SERIE B;ROUND 6;2014;20.05.2014;Avai;Parana;0;0;2;1;2.17;3.1;3.3;2.28;https://www.flashscore.com/match/lpHKW82Q/#/match-summary
BRAZIL;SERIE B;ROUND 6;2014;20.05.2014;Atletico GO;ABC;2;0;2;0;1.95;3.32;3.68;2.14;https://www.flashscore.com/match/AmNoSSAs/#/match-summary
BRAZIL;SERIE B;ROUND 6;2014;20.05.2014;America MG;Joinville;1;0;3;1;2.13;3.25;3.22;2.1;https://www.flashscore.com/match/r1LgQ6uf/#/match-summary
BRAZIL;SERIE B;ROUND 6;2014;20.05.2014;Vasco;Sampaio Correa;0;0;1;1;1.58;3.65;5.6;1.85;https://www.flashscore.com/match/0OzQARu7/#/match-summary
BRAZIL;SERIE B;ROUND 6;2014;20.05.2014;Nautico;Portuguesa;0;1;2;1;2.13;3.2;3.25;1.98;https://www.flashscore.com/match/vFZT9oeD/#/match-summary
BRAZIL;SERIE B;ROUND 6;2014;20.05.2014;Luverdense;Boa;0;1;4;2;1.6;3.68;5.3;2.03;https://www.flashscore.com/match/SUSBYUXD/#/match-summary
BRAZIL;SERIE B;ROUND 6;2014;20.05.2014;Icasa;Bragantino;1;0;3;0;1.92;3.38;3.72;2.02;https://www.flashscore.com/match/6LRFXlmK/#/match-summary
BRAZIL;SERIE B;ROUND 6;2014;20.05.2014;America RN;Ceara;0;1;0;1;2.48;3.3;2.62;1.78;https://www.flashscore.com/match/4AMkRnQm/#/match-summary
BRAZIL;SERIE B;ROUND 7;2014;23.05.2014;Santa Cruz;America MG;0;0;1;1;2.75;3.18;2.42;2.03;https://www.flashscore.com/match/ngIAMOvJ/#/match-summary
BRAZIL;SERIE B;ROUND 7;2014;23.05.2014;Bragantino;Oeste;1;0;3;0;1.7;3.58;4.5;1.92;https://www.flashscore.com/match/0xGbPQf0/#/match-summary
BRAZIL;SERIE B;ROUND 7;2014;23.05.2014;Boa;Avai;0;0;2;0;2.5;3.15;2.68;2.17;https://www.flashscore.com/match/YkzxwpPa/#/match-summary
BRAZIL;SERIE B;ROUND 7;2014;23.05.2014;Ceara;Ponte Preta;1;1;3;2;1.9;3.28;3.88;1.95;https://www.flashscore.com/match/SlecpSWP/#/match-summary
BRAZIL;SERIE B;ROUND 7;2014;24.05.2014;Vila Nova FC;America RN;1;0;1;3;2.5;3.2;2.69;2.03;https://www.flashscore.com/match/xOtTv6fm/#/match-summary
BRAZIL;SERIE B;ROUND 7;2014;24.05.2014;Sampaio Correa;Luverdense;1;0;1;0;2.1;3.25;3.25;1.95;https://www.flashscore.com/match/lbdgo8HJ/#/match-summary
BRAZIL;SERIE B;ROUND 7;2014;24.05.2014;Portuguesa;Atletico GO;0;0;2;0;1.71;3.72;4.3;1.94;https://www.flashscore.com/match/vTE2OpA6/#/match-summary
BRAZIL;SERIE B;ROUND 7;2014;24.05.2014;Joinville;Vasco;0;0;0;0;2.33;3.28;2.82;1.9;https://www.flashscore.com/match/bXsPunus/#/match-summary
BRAZIL;SERIE B;ROUND 7;2014;24.05.2014;Parana;Nautico;1;0;2;0;1.62;3.72;5.0;1.98;https://www.flashscore.com/match/YkE6N4PC/#/match-summary
BRAZIL;SERIE B;ROUND 7;2014;24.05.2014;ABC;Icasa;1;0;3;0;1.96;3.25;3.79;2.02;https://www.flashscore.com/match/KnWXwQ9g/#/match-summary
BRAZIL;SERIE B;ROUND 8;2014;27.05.2014;Portuguesa;Sampaio Correa;0;2;1;4;1.88;3.28;4.0;2.03;https://www.flashscore.com/match/63YqyOgC/#/match-summary
BRAZIL;SERIE B;ROUND 8;2014;27.05.2014;Parana;Ponte Preta;0;0;1;2;2.39;3.2;2.85;2.05;https://www.flashscore.com/match/OvTlzr9I/#/match-summary
BRAZIL;SERIE B;ROUND 8;2014;27.05.2014;Joinville;America RN;0;0;1;0;1.44;3.9;7.22;1.65;https://www.flashscore.com/match/Ykd7hPOn/#/match-summary
BRAZIL;SERIE B;ROUND 8;2014;27.05.2014;Boa;Santa Cruz;0;1;0;2;2.34;3.15;2.92;2.25;https://www.flashscore.com/match/K6bJkN85/#/match-summary
BRAZIL;SERIE B;ROUND 8;2014;27.05.2014;ABC;Oeste;0;0;0;1;1.46;3.98;6.78;1.8;https://www.flashscore.com/match/tGaFj3ga/#/match-summary
BRAZIL;SERIE B;ROUND 8;2014;27.05.2014;Nautico;Avai;0;1;0;1;2.05;3.25;3.42;2.28;https://www.flashscore.com/match/2VRhZ1OO/#/match-summary
BRAZIL;SERIE B;ROUND 8;2014;27.05.2014;Luverdense;Icasa;0;0;1;0;1.54;3.78;5.75;1.9;https://www.flashscore.com/match/GYFzbo1P/#/match-summary
BRAZIL;SERIE B;ROUND 8;2014;27.05.2014;Ceara;Vila Nova FC;2;0;4;0;1.3;4.75;9.65;1.85;https://www.flashscore.com/match/jR62g59t/#/match-summary
BRAZIL;SERIE B;ROUND 8;2014;27.05.2014;Bragantino;Vasco;0;0;1;1;3.25;3.25;2.12;2.0;https://www.flashscore.com/match/SCZux4v6/#/match-summary
BRAZIL;SERIE B;ROUND 8;2014;27.05.2014;Atletico GO;America MG;2;0;3;0;2.7;3.2;2.45;2.15;https://www.flashscore.com/match/CteBiqvg/#/match-summary
BRAZIL;SERIE B;ROUND 9;2014;30.05.2014;Oeste;Parana;1;1;2;2;2.82;3.12;2.4;2.02;https://www.flashscore.com/match/2VmOlsOB/#/match-summary
BRAZIL;SERIE B;ROUND 9;2014;30.05.2014;Avai;ABC;0;0;0;1;1.68;3.62;4.6;1.98;https://www.flashscore.com/match/KvxnizpA/#/match-summary
