nacao;campeonato;rodada;ano;dia;home;away;HGHT;AGHT;HGFT;AGFT;odd_home;odd_draw;odd_away;over25;endereco
BRAZIL;SERIE B;ROUND 1;2020;07.08.2020;Cuiaba;Brasil de Pelotas;0;0;0;0;1.76;3.18;4.92;2.74;https://www.flashscore.com/match/S0Pw2KKk/#/match-summary
BRAZIL;SERIE B;ROUND 1;2020;07.08.2020;Confianca;Parana;0;1;2;2;2.37;2.7;3.33;3.28;https://www.flashscore.com/match/GQLZ205q/#/match-summary
BRAZIL;SERIE B;ROUND 1;2020;08.08.2020;Juventude;CRB;1;1;2;1;2.38;2.94;3.1;2.66;https://www.flashscore.com/match/Whp38MsM/#/match-summary
BRAZIL;SERIE B;ROUND 1;2020;08.08.2020;Operario;Figueirense;1;0;3;1;2.4;2.82;3.1;2.84;https://www.flashscore.com/match/2Jua92SF/#/match-summary
BRAZIL;SERIE B;ROUND 1;2020;08.08.2020;Vitoria;Sampaio Correa;1;0;1;0;1.68;3.38;4.97;2.39;https://www.flashscore.com/match/Aqq77tcS/#/match-summary
BRAZIL;SERIE B;ROUND 1;2020;08.08.2020;Cruzeiro;Botafogo SP;0;0;2;1;1.52;3.62;6.04;2.34;https://www.flashscore.com/match/z700l1jj/#/match-summary
BRAZIL;SERIE B;ROUND 1;2020;08.08.2020;Avai;Nautico;2;0;3;1;2.02;3.08;3.77;2.45;https://www.flashscore.com/match/Eca4mL5d/#/match-summary
BRAZIL;SERIE B;ROUND 1;2020;08.08.2020;Ponte Preta;America MG;0;1;0;1;2.62;2.85;2.8;2.62;https://www.flashscore.com/match/t4ijBOc3/#/match-summary
BRAZIL;SERIE B;ROUND 1;2020;08.08.2020;CSA;Guarani;1;0;1;0;nan;nan;nan;nan;https://www.flashscore.com/match/S0mnC4rc/#/match-summary
BRAZIL;SERIE B;ROUND 1;2020;09.08.2020;Oeste;Chapecoense-SC;0;0;0;0;3.12;2.91;2.37;2.66;https://www.flashscore.com/match/OSteArD9/#/match-summary
BRAZIL;SERIE B;ROUND 2;2020;11.08.2020;Sampaio Correa;Juventude;0;0;0;1;3.02;2.85;2.51;2.94;https://www.flashscore.com/match/GppHFwkk/#/match-summary
BRAZIL;SERIE B;ROUND 2;2020;11.08.2020;Brasil de Pelotas;Ponte Preta;0;0;1;1;4.79;3.2;1.78;2.99;https://www.flashscore.com/match/6BboLaRR/#/match-summary
BRAZIL;SERIE B;ROUND 2;2020;11.08.2020;Botafogo SP;Confianca;1;0;2;0;2.37;2.86;3.25;2.86;https://www.flashscore.com/match/Aq5xNLdF/#/match-summary
BRAZIL;SERIE B;ROUND 2;2020;11.08.2020;Parana;Avai;0;0;1;0;3.16;2.76;2.49;2.8;https://www.flashscore.com/match/On9tMuCL/#/match-summary
BRAZIL;SERIE B;ROUND 2;2020;11.08.2020;Guarani;Cruzeiro;1;2;2;3;3.48;2.96;2.18;2.49;https://www.flashscore.com/match/GM5YN1s9/#/match-summary
BRAZIL;SERIE B;ROUND 2;2020;11.08.2020;Nautico;Operario;0;0;0;0;2.3;3.11;3.07;2.32;https://www.flashscore.com/match/8KpDGJZr/#/match-summary
BRAZIL;SERIE B;ROUND 2;2020;11.08.2020;Figueirense;Vitoria;0;0;0;0;2.85;2.75;2.71;2.47;https://www.flashscore.com/match/0ENo0bk2/#/match-summary
BRAZIL;SERIE B;ROUND 2;2020;11.08.2020;America MG;Cuiaba;0;0;0;1;2.03;3.0;3.92;2.59;https://www.flashscore.com/match/MNOs1vzd/#/match-summary
BRAZIL;SERIE B;ROUND 2;2020;12.08.2020;CRB;Oeste;0;0;1;0;1.97;2.97;4.26;3.17;https://www.flashscore.com/match/xW6UOsS2/#/match-summary
BRAZIL;SERIE B;ROUND 3;2020;14.08.2020;America MG;Operario;1;0;1;1;1.74;3.25;4.88;2.46;https://www.flashscore.com/match/x0YPDHJ1/#/match-summary
BRAZIL;SERIE B;ROUND 3;2020;14.08.2020;Ponte Preta;Vitoria;2;2;3;3;2.0;3.03;3.97;2.6;https://www.flashscore.com/match/rcPFzuRE/#/match-summary
BRAZIL;SERIE B;ROUND 3;2020;14.08.2020;Parana;Juventude;2;1;3;1;2.29;2.6;3.64;3.24;https://www.flashscore.com/match/xbslIWAm/#/match-summary
BRAZIL;SERIE B;ROUND 3;2020;15.08.2020;Botafogo SP;Guarani;0;1;0;1;2.64;3.07;2.57;2.67;https://www.flashscore.com/match/b7rpJCes/#/match-summary
BRAZIL;SERIE B;ROUND 3;2020;15.08.2020;Brasil de Pelotas;Oeste;0;0;1;1;2.56;2.78;3.01;3.18;https://www.flashscore.com/match/WKthHjQg/#/match-summary
BRAZIL;SERIE B;ROUND 3;2020;15.08.2020;Nautico;CRB;1;0;1;1;2.36;2.95;3.1;2.58;https://www.flashscore.com/match/U5aeGAu0/#/match-summary
BRAZIL;SERIE B;ROUND 3;2020;16.08.2020;Chapecoense-SC;Sampaio Correa;1;0;1;0;1.47;3.74;7.72;2.66;https://www.flashscore.com/match/jLm4ElAC/#/match-summary
BRAZIL;SERIE B;ROUND 3;2020;16.08.2020;Figueirense;Cruzeiro;0;1;0;1;4.07;3.12;1.92;2.44;https://www.flashscore.com/match/j3xUCyZ7/#/match-summary
BRAZIL;SERIE B;ROUND 4;2020;17.08.2020;Juventude;America MG;0;0;0;0;3.75;2.9;2.12;2.69;https://www.flashscore.com/match/h4OPDxya/#/match-summary
BRAZIL;SERIE B;ROUND 4;2020;18.08.2020;Operario;CSA;0;0;3;0;1.63;3.34;5.73;2.84;https://www.flashscore.com/match/Ch7SEILh/#/match-summary
BRAZIL;SERIE B;ROUND 4;2020;18.08.2020;Avai;Botafogo SP;0;0;0;1;1.79;3.13;4.74;2.65;https://www.flashscore.com/match/boiCCSvP/#/match-summary
BRAZIL;SERIE B;ROUND 4;2020;18.08.2020;Oeste;Ponte Preta;1;1;1;3;4.13;2.9;1.98;2.76;https://www.flashscore.com/match/Y18OFb6n/#/match-summary
BRAZIL;SERIE B;ROUND 4;2020;18.08.2020;Guarani;Parana;1;0;1;2;2.16;2.84;3.68;2.68;https://www.flashscore.com/match/vu9KGvit/#/match-summary
BRAZIL;SERIE B;ROUND 4;2020;18.08.2020;Cuiaba;Confianca;0;0;1;0;1.68;3.32;5.03;2.37;https://www.flashscore.com/match/vLQyBzLH/#/match-summary
BRAZIL;SERIE B;ROUND 4;2020;18.08.2020;CRB;Brasil de Pelotas;0;0;1;0;1.8;3.14;4.59;2.68;https://www.flashscore.com/match/2JHhLKrP/#/match-summary
BRAZIL;SERIE B;ROUND 4;2020;19.08.2020;Vitoria;Nautico;0;0;0;0;1.89;3.21;4.08;2.34;https://www.flashscore.com/match/WfNTCdj5/#/match-summary
BRAZIL;SERIE B;ROUND 4;2020;20.08.2020;Cruzeiro;Chapecoense-SC;0;1;0;1;1.87;3.18;4.24;2.44;https://www.flashscore.com/match/Kfh8D8PI/#/match-summary
BRAZIL;SERIE B;ROUND 5;2020;21.08.2020;America MG;Oeste;1;1;2;1;1.5;3.71;6.94;2.48;https://www.flashscore.com/match/MqGtAfzO/#/match-summary
BRAZIL;SERIE B;ROUND 5;2020;21.08.2020;Ponte Preta;CSA;1;1;2;1;1.54;3.7;6.22;2.32;https://www.flashscore.com/match/jaffTHzn/#/match-summary
BRAZIL;SERIE B;ROUND 5;2020;22.08.2020;Avai;Cuiaba;0;0;0;2;2.58;2.86;2.88;2.84;https://www.flashscore.com/match/0zFp9EkU/#/match-summary
BRAZIL;SERIE B;ROUND 5;2020;22.08.2020;Nautico;Juventude;2;2;3;3;1.99;2.98;4.0;2.7;https://www.flashscore.com/match/IBoBPZZA/#/match-summary
BRAZIL;SERIE B;ROUND 5;2020;22.08.2020;Botafogo SP;Figueirense;0;0;0;1;2.24;2.87;3.43;2.96;https://www.flashscore.com/match/YNqaSyjh/#/match-summary
BRAZIL;SERIE B;ROUND 5;2020;22.08.2020;CRB;Vitoria;1;0;2;2;2.22;2.95;3.35;2.63;https://www.flashscore.com/match/C8ejUcLu/#/match-summary
BRAZIL;SERIE B;ROUND 5;2020;23.08.2020;Parana;Operario;0;0;0;0;2.3;2.79;3.45;3.16;https://www.flashscore.com/match/pbm3Re5b/#/match-summary
BRAZIL;SERIE B;ROUND 5;2020;23.08.2020;Confianca;Cruzeiro;1;1;1;1;6.06;3.33;1.62;2.5;https://www.flashscore.com/match/zmtGOgkH/#/match-summary
BRAZIL;SERIE B;ROUND 5;2020;24.08.2020;Chapecoense-SC;Guarani;2;0;2;0;2.1;2.82;3.72;3.11;https://www.flashscore.com/match/EwuKND4N/#/match-summary
BRAZIL;SERIE B;ROUND 6;2020;28.08.2020;Oeste;Avai;0;1;0;2;3.18;2.79;2.38;3.01;https://www.flashscore.com/match/KhNuuFZc/#/match-summary
BRAZIL;SERIE B;ROUND 6;2020;28.08.2020;Cuiaba;Chapecoense-SC;0;1;2;1;2.03;2.84;4.07;2.92;https://www.flashscore.com/match/SOD0zilT/#/match-summary
BRAZIL;SERIE B;ROUND 6;2020;28.08.2020;Guarani;Nautico;1;0;1;2;1.73;3.53;4.36;2.02;https://www.flashscore.com/match/QH8xteKi/#/match-summary
BRAZIL;SERIE B;ROUND 6;2020;29.08.2020;Juventude;Botafogo SP;0;0;0;0;2.54;2.86;2.96;2.79;https://www.flashscore.com/match/t8Blwg4A/#/match-summary
BRAZIL;SERIE B;ROUND 6;2020;29.08.2020;Vitoria;Parana;0;0;1;0;2.22;2.84;3.54;2.74;https://www.flashscore.com/match/fBFhxDJG/#/match-summary
BRAZIL;SERIE B;ROUND 6;2020;29.08.2020;Figueirense;Confianca;0;0;0;0;2.29;2.7;3.68;3.21;https://www.flashscore.com/match/pMVkIiSp/#/match-summary
