nacao;campeonato;rodada;ano;dia;home;away;HGHT;AGHT;HGFT;AGFT;odd_home;odd_draw;odd_away;over25;endereco
BRAZIL;SERIE B;ROUND 1;2018;13.04.2018;Fortaleza;Guarani;0;0;2;1;1.72;3.55;4.97;2.23;https://www.flashscore.com/match/YklZkzI0/#/match-summary
BRAZIL;SERIE B;ROUND 1;2018;13.04.2018;Oeste;CRB;1;0;2;0;2.14;3.11;3.7;2.62;https://www.flashscore.com/match/nZoNhxYs/#/match-summary
BRAZIL;SERIE B;ROUND 1;2018;13.04.2018;Atletico GO;Criciuma;1;1;3;2;2.39;3.1;3.17;2.34;https://www.flashscore.com/match/f5xrlEnD/#/match-summary
BRAZIL;SERIE B;ROUND 1;2018;13.04.2018;Figueirense;Juventude;2;0;2;1;1.76;3.41;4.89;2.41;https://www.flashscore.com/match/KnpVjG2f/#/match-summary
BRAZIL;SERIE B;ROUND 1;2018;14.04.2018;Vila Nova FC;Avai;0;0;1;0;2.12;3.11;3.79;2.67;https://www.flashscore.com/match/GEwvkfX6/#/match-summary
BRAZIL;SERIE B;ROUND 1;2018;14.04.2018;Londrina;Boa;0;0;1;0;1.87;3.34;4.5;2.32;https://www.flashscore.com/match/MBUTBHvK/#/match-summary
BRAZIL;SERIE B;ROUND 1;2018;14.04.2018;CSA;Goias;0;0;2;1;2.63;3.07;2.8;2.41;https://www.flashscore.com/match/rLVPCcPD/#/match-summary
BRAZIL;SERIE B;ROUND 1;2018;14.04.2018;Brasil de Pelotas;Sao Bento;1;1;1;1;2.02;3.18;4.01;2.5;https://www.flashscore.com/match/QPpRidml/#/match-summary
BRAZIL;SERIE B;ROUND 1;2018;14.04.2018;Sampaio Correa;Coritiba;1;0;2;0;2.74;3.09;2.66;2.42;https://www.flashscore.com/match/4zKYAyfQ/#/match-summary
BRAZIL;SERIE B;ROUND 1;2018;14.04.2018;Ponte Preta;Paysandu PA;0;1;0;1;1.9;3.3;4.44;2.42;https://www.flashscore.com/match/8l60A43F/#/match-summary
BRAZIL;SERIE B;ROUND 2;2018;17.04.2018;Boa;Fortaleza;0;0;0;2;3.38;3.02;2.3;2.52;https://www.flashscore.com/match/2qLO0iWI/#/match-summary
BRAZIL;SERIE B;ROUND 2;2018;17.04.2018;Coritiba;Atletico GO;0;0;1;0;2.15;3.14;3.62;2.41;https://www.flashscore.com/match/rubBOfOP/#/match-summary
BRAZIL;SERIE B;ROUND 2;2018;20.04.2018;Juventude;Oeste;1;0;1;1;2.05;3.05;4.09;2.74;https://www.flashscore.com/match/biO74ZWg/#/match-summary
BRAZIL;SERIE B;ROUND 2;2018;20.04.2018;Sao Bento;CSA;0;1;2;1;2.02;3.14;4.06;2.54;https://www.flashscore.com/match/K0P35FHm/#/match-summary
BRAZIL;SERIE B;ROUND 2;2018;20.04.2018;Paysandu PA;Londrina;1;0;1;0;2.09;3.12;3.8;2.51;https://www.flashscore.com/match/ENpwKEWt/#/match-summary
