nacao;campeonato;rodada;ano;dia;home;away;HGHT;AGHT;HGFT;AGFT;odd_home;odd_draw;odd_away;over25;endereco
BRAZIL;SERIE B;ROUND 1;2021;28.05.2021;Brasil de Pelotas;Londrina;0;0;0;0;2.99;2.82;2.59;2.64;https://www.flashscore.com/match/6kRpLzG7/#/match-summary
BRAZIL;SERIE B;ROUND 1;2021;28.05.2021;Guarani;Vitoria;1;1;1;1;2.1;3.23;3.54;2.18;https://www.flashscore.com/match/ANXyNdoe/#/match-summary
BRAZIL;SERIE B;ROUND 1;2021;28.05.2021;Vila Nova FC;Botafogo RJ;0;0;1;1;2.91;2.87;2.59;2.8;https://www.flashscore.com/match/WWYXNxWl/#/match-summary
BRAZIL;SERIE B;ROUND 1;2021;28.05.2021;Nautico;CSA;1;0;1;0;1.93;3.24;3.98;2.23;https://www.flashscore.com/match/SbStMG01/#/match-summary
BRAZIL;SERIE B;ROUND 1;2021;29.05.2021;Vasco;Operario;0;2;0;2;1.74;3.34;4.99;2.23;https://www.flashscore.com/match/xAZTOIGr/#/match-summary
BRAZIL;SERIE B;ROUND 1;2021;29.05.2021;CRB;Remo;1;2;2;2;2.08;3.12;3.62;2.38;https://www.flashscore.com/match/KhFSqKh8/#/match-summary
BRAZIL;SERIE B;ROUND 1;2021;29.05.2021;Confianca;Cruzeiro;1;0;3;1;3.95;3.0;2.03;2.67;https://www.flashscore.com/match/fB7usIxR/#/match-summary
BRAZIL;SERIE B;ROUND 1;2021;29.05.2021;Coritiba;Avai;1;0;2;0;2.42;2.91;3.08;2.59;https://www.flashscore.com/match/YeJWrv8E/#/match-summary
BRAZIL;SERIE B;ROUND 1;2021;30.05.2021;Brusque;Ponte Preta;1;0;2;1;2.44;2.99;2.96;2.46;https://www.flashscore.com/match/GK8yrbNK/#/match-summary
BRAZIL;SERIE B;ROUND 1;2021;31.05.2021;Sampaio Correa;Goias;0;0;0;0;3.04;2.98;2.42;2.56;https://www.flashscore.com/match/C496xxor/#/match-summary
BRAZIL;SERIE B;ROUND 2;2021;01.06.2021;Operario;Guarani;1;3;2;5;2.46;2.81;3.09;2.71;https://www.flashscore.com/match/zqrEeHiK/#/match-summary
BRAZIL;SERIE B;ROUND 2;2021;04.06.2021;Goias;Confianca;1;0;2;0;2.0;2.97;4.12;2.56;https://www.flashscore.com/match/YJcFzGFf/#/match-summary
BRAZIL;SERIE B;ROUND 2;2021;05.06.2021;Londrina;Brusque;0;1;0;1;2.4;2.72;3.42;2.7;https://www.flashscore.com/match/Kz0RXDaD/#/match-summary
BRAZIL;SERIE B;ROUND 2;2021;05.06.2021;CSA;Sampaio Correa;0;0;0;0;1.92;3.26;4.03;2.4;https://www.flashscore.com/match/dhqAdcxE/#/match-summary
BRAZIL;SERIE B;ROUND 2;2021;05.06.2021;Remo;Brasil de Pelotas;1;0;1;0;1.76;3.23;5.0;2.57;https://www.flashscore.com/match/nNNlkFUm/#/match-summary
BRAZIL;SERIE B;ROUND 2;2021;05.06.2021;Botafogo RJ;Coritiba;0;0;2;0;2.21;2.88;3.61;2.62;https://www.flashscore.com/match/je8Ayd0l/#/match-summary
BRAZIL;SERIE B;ROUND 2;2021;06.06.2021;Ponte Preta;Vasco;0;0;1;1;3.03;2.93;2.45;2.53;https://www.flashscore.com/match/nN1JZZU0/#/match-summary
BRAZIL;SERIE B;ROUND 2;2021;06.06.2021;Cruzeiro;CRB;1;2;3;4;1.88;3.18;4.28;2.44;https://www.flashscore.com/match/tp1NYgp7/#/match-summary
BRAZIL;SERIE B;ROUND 2;2021;06.06.2021;Avai;Vila Nova FC;0;0;1;1;1.91;3.12;4.22;2.52;https://www.flashscore.com/match/U5sIfy7Q/#/match-summary
BRAZIL;SERIE B;ROUND 2;2021;07.06.2021;Vitoria;Nautico;0;0;0;1;2.86;2.76;2.7;2.55;https://www.flashscore.com/match/4bYqjeFs/#/match-summary
BRAZIL;SERIE B;ROUND 3;2021;11.06.2021;Sampaio Correa;Ponte Preta;0;0;1;0;3.24;2.91;2.36;2.6;https://www.flashscore.com/match/bs9O1hEg/#/match-summary
BRAZIL;SERIE B;ROUND 3;2021;11.06.2021;Guarani;Nautico;0;0;1;3;2.2;2.94;3.52;2.35;https://www.flashscore.com/match/YwQ0nDE6/#/match-summary
BRAZIL;SERIE B;ROUND 3;2021;12.06.2021;CRB;Confianca;2;2;3;2;2.03;3.13;3.8;2.32;https://www.flashscore.com/match/r97i9zMJ/#/match-summary
BRAZIL;SERIE B;ROUND 3;2021;12.06.2021;Vila Nova FC;CSA;1;0;1;0;2.94;2.68;2.74;2.58;https://www.flashscore.com/match/fmRdmga0/#/match-summary
BRAZIL;SERIE B;ROUND 3;2021;12.06.2021;Brasil de Pelotas;Vasco;1;0;1;2;3.78;2.87;2.16;2.56;https://www.flashscore.com/match/U5J9piqJ/#/match-summary
BRAZIL;SERIE B;ROUND 3;2021;12.06.2021;Cruzeiro;Goias;0;1;1;1;2.01;3.18;3.78;2.33;https://www.flashscore.com/match/G2F5oXTC/#/match-summary
BRAZIL;SERIE B;ROUND 3;2021;13.06.2021;Botafogo RJ;Remo;1;0;3;0;1.83;3.24;4.46;2.2;https://www.flashscore.com/match/QDMhlZqf/#/match-summary
BRAZIL;SERIE B;ROUND 3;2021;13.06.2021;Avai;Brusque;0;0;1;2;1.96;3.15;3.99;2.41;https://www.flashscore.com/match/QTAG3Eqs/#/match-summary
BRAZIL;SERIE B;ROUND 3;2021;13.06.2021;Vitoria;Operario;0;0;0;0;2.39;2.86;3.23;2.56;https://www.flashscore.com/match/4K9K2Ybm/#/match-summary
BRAZIL;SERIE B;ROUND 3;2021;13.06.2021;Coritiba;Londrina;1;0;1;1;2.03;2.98;3.96;2.58;https://www.flashscore.com/match/Ma6e8fyQ/#/match-summary
BRAZIL;SERIE B;ROUND 4;2021;15.06.2021;Nautico;Vila Nova FC;1;0;2;0;1.59;3.57;5.82;2.2;https://www.flashscore.com/match/2Z5ubADI/#/match-summary
BRAZIL;SERIE B;ROUND 4;2021;15.06.2021;CSA;Guarani;0;0;1;1;2.3;3.02;3.21;2.48;https://www.flashscore.com/match/t47i5RKo/#/match-summary
BRAZIL;SERIE B;ROUND 4;2021;15.06.2021;Goias;CRB;1;0;1;0;1.95;3.24;3.99;2.19;https://www.flashscore.com/match/f92XaWr6/#/match-summary
BRAZIL;SERIE B;ROUND 4;2021;15.06.2021;Confianca;Brasil de Pelotas;1;1;1;1;1.99;3.0;4.11;2.72;https://www.flashscore.com/match/C2O22P44/#/match-summary
BRAZIL;SERIE B;ROUND 4;2021;16.06.2021;Remo;Vitoria;0;0;0;0;2.12;3.15;3.57;2.21;https://www.flashscore.com/match/UwJ71qKA/#/match-summary
BRAZIL;SERIE B;ROUND 4;2021;16.06.2021;Operario;Sampaio Correa;0;0;1;0;1.89;3.05;4.45;2.86;https://www.flashscore.com/match/vkQf4ozh/#/match-summary
BRAZIL;SERIE B;ROUND 4;2021;16.06.2021;Vasco;Avai;0;2;0;2;1.94;3.23;3.99;2.36;https://www.flashscore.com/match/CpDS0CTa/#/match-summary
BRAZIL;SERIE B;ROUND 4;2021;16.06.2021;Ponte Preta;Cruzeiro;0;0;0;1;3.0;2.97;2.42;2.43;https://www.flashscore.com/match/Ya1yajbC/#/match-summary
