nacao;campeonato;rodada;ano;dia;home;away;HGHT;AGHT;HGFT;AGFT;odd_home;odd_draw;odd_away;over25;endereco
BRAZIL;SERIE B;ROUND 1;2016;13.05.2016;Vila Nova FC;Bragantino;1;0;3;1;2.32;3.1;3.16;2.33;https://www.flashscore.com/match/G2egMNEK/#/match-summary
BRAZIL;SERIE B;ROUND 1;2016;13.05.2016;Oeste;Atletico GO;0;1;0;1;2.84;3.07;2.59;2.25;https://www.flashscore.com/match/Yw6lN3aE/#/match-summary
BRAZIL;SERIE B;ROUND 1;2016;13.05.2016;Tupi-MG;Goias;0;0;0;1;2.73;3.01;2.68;2.47;https://www.flashscore.com/match/nonPG1xr/#/match-summary
BRAZIL;SERIE B;ROUND 1;2016;14.05.2016;Sampaio Correa;Vasco;0;2;0;4;3.48;3.35;2.08;2.01;https://www.flashscore.com/match/M32pOqp8/#/match-summary
BRAZIL;SERIE B;ROUND 1;2016;14.05.2016;Londrina;CRB;0;0;0;1;2.16;3.21;3.43;2.3;https://www.flashscore.com/match/80zYEu7f/#/match-summary
BRAZIL;SERIE B;ROUND 1;2016;14.05.2016;Ceara;Paysandu PA;0;0;2;2;1.79;3.48;4.47;2.28;https://www.flashscore.com/match/U9Fb0th1/#/match-summary
BRAZIL;SERIE B;ROUND 1;2016;14.05.2016;Brasil de Pelotas;Parana;1;0;2;0;2.43;3.11;2.98;2.22;https://www.flashscore.com/match/QyoTFLil/#/match-summary
BRAZIL;SERIE B;ROUND 1;2016;14.05.2016;Criciuma;Nautico;0;0;1;0;2.08;3.22;3.66;2.24;https://www.flashscore.com/match/M3vxEaM0/#/match-summary
BRAZIL;SERIE B;ROUND 1;2016;14.05.2016;Luverdense;Joinville;0;0;1;1;2.28;3.18;3.15;2.27;https://www.flashscore.com/match/fgfcLsUQ/#/match-summary
BRAZIL;SERIE B;ROUND 1;2016;14.05.2016;Bahia;Avai;1;0;2;1;1.41;4.22;8.3;2.11;https://www.flashscore.com/match/80E2a077/#/match-summary
BRAZIL;SERIE B;ROUND 2;2016;17.05.2016;Bragantino;Luverdense;0;0;0;1;1.8;3.56;4.34;1.97;https://www.flashscore.com/match/2Fo6dTvE/#/match-summary
BRAZIL;SERIE B;ROUND 2;2016;17.05.2016;Nautico;Vila Nova FC;2;1;3;2;1.89;3.44;4.02;2.1;https://www.flashscore.com/match/t6pAemfK/#/match-summary
